Name,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
nan,Transfer,Cat,Unknown,6 months,Domestic Shorthair Mix,Black
nan,Transfer,Cat,Intact Female,5 months,Domestic Shorthair Mix,Tortie/Black
Zippee,Transfer,Dog,Intact Female,6 months,Pit Bull Mix,Black
Bruiser,Transfer,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Black/White
Behemoth,Transfer,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Blue
Cupcake,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Cream Tabby
Princess,Euthanasia,Dog,Spayed Female,13 years,American Eskimo Mix,Brown/White
nan,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Orange Tabby
Choco,Return_to_owner,Dog,Neutered Male,1 year,Labrador Retriever Mix,Chocolate
nan,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby
Clutch,Adoption,Cat,Neutered Male,3 years,Domestic Medium Hair Mix,Black/White
nan,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Blue/White
Seth,Adoption,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Cream Tabby/White
Reese'S,Adoption,Dog,Neutered Male,2 months,Great Pyrenees/Catahoula,White/Brown Merle
nan,Transfer,Cat,Intact Male,1 week,Domestic Shorthair Mix,Cream Tabby
nan,Adoption,Dog,Spayed Female,2 months,Australian Shepherd Mix,Black/White
nan,Transfer,Dog,Spayed Female,1 year,Miniature Schnauzer/Whippet,White
James,Adoption,Cat,Neutered Male,2 months,Siamese Mix,Lynx Point
Captain,Return_to_owner,Dog,Intact Male,1 year,Labrador Retriever,Yellow
nan,Adoption,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Black Smoke
Dawn,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
Penny,Return_to_owner,Dog,Intact Female,3 years,German Shepherd Mix,Tan/Black
Buster,Return_to_owner,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
Aster,Adoption,Dog,Spayed Female,6 months,Golden Retriever Mix,Buff
Roz,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Orange Tabby
Dimu,Adoption,Dog,Neutered Male,2 years,Staffordshire Mix,Blue/White
Edward,Euthanasia,Dog,Intact Male,3 years,Pit Bull Mix,Fawn
Maggie,Adoption,Dog,Spayed Female,1 month,Labrador Retriever Mix,Cream/White
Cabron,Return_to_owner,Dog,Neutered Male,3 months,Siberian Husky Mix,Black/White
nan,Transfer,Dog,Spayed Female,5 months,Dachshund Mix,Black/Brown
Marvin,Transfer,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Blue Tabby/White
Faith,Adoption,Cat,Spayed Female,8 months,Domestic Medium Hair Mix,Black/White
Woody,Adoption,Cat,Neutered Male,7 months,Domestic Shorthair Mix,Brown Tabby
nan,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,White/Black
Tootsie,Transfer,Dog,Neutered Male,5 months,Dachshund Mix,Brown/White
nan,Transfer,Dog,Intact Female,4 weeks,Labrador Retriever Mix,Black/White
nan,Euthanasia,Dog,Intact Female,7 years,Chihuahua Shorthair Mix,Brown
nan,Transfer,Dog,Intact Male,4 weeks,Labrador Retriever Mix,Black/White
nan,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black
Fozzy Bear,Transfer,Dog,Neutered Male,8 years,Miniature Poodle Mix,Chocolate
Pickles,Adoption,Dog,Spayed Female,2 years,Dachshund/Labrador Retriever,Brown
Lily,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
Baby Boy,Transfer,Dog,Neutered Male,5 years,Australian Cattle Dog/Chow Chow,Red Merle/White
Stark,Adoption,Dog,Intact Male,2 months,Pit Bull/Labrador Retriever,Brown Brindle/Blue Cream
Ashley,Return_to_owner,Dog,Spayed Female,5 years,Siberian Husky Mix,Sable/White
Tango,Adoption,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Black
nan,Adoption,Dog,Neutered Male,5 months,Labrador Retriever Mix,Red
nan,Transfer,Cat,Intact Female,3 weeks,Domestic Longhair Mix,Black/White
Dexter,Adoption,Dog,Neutered Male,2 years,Dachshund Mix,Black
Tom,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby/White
Warner,Transfer,Cat,Neutered Male,2 months,Siamese Mix,Lynx Point/White
Figaro,Adoption,Dog,Neutered Male,2 years,Miniature Poodle Mix,White
Tulip,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
Dorado,Adoption,Dog,Neutered Male,3 months,Carolina Dog Mix,Red
Blue,Euthanasia,Dog,Neutered Male,1 year,Pit Bull Mix,Fawn/White
Tiny,Return_to_owner,Dog,Neutered Male,7 years,Rat Terrier Mix,White/Black
Frannie,Return_to_owner,Dog,Spayed Female,3 years,Chihuahua Shorthair Mix,Black/White
Samantha,Return_to_owner,Dog,Spayed Female,2 years,Dachshund Mix,Brown/White
nan,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White
Furby,Adoption,Dog,Spayed Female,4 years,Pomeranian Mix,Tan/White
Max,Return_to_owner,Dog,Neutered Male,8 years,Bullmastiff/Boxer,Brown/White
Bueller,Transfer,Dog,Neutered Male,4 years,Chihuahua Shorthair Mix,Brown/Black
Ozzy,Transfer,Dog,Intact Male,1 year,Border Terrier/Chihuahua Shorthair,Brown Brindle
Sawyer,Transfer,Cat,Neutered Male,1 year,Domestic Shorthair Mix,Orange Tabby
Milcha,Adoption,Cat,Spayed Female,10 years,Siamese Mix,Tortie Point
nan,Transfer,Cat,Intact Male,5 months,Domestic Medium Hair Mix,Black/White
Dottie,Return_to_owner,Dog,Spayed Female,1 year,Boxer,White
nan,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby
Davey,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Cream Tabby
Boner,Return_to_owner,Dog,Intact Male,5 years,Pit Bull Mix,Brown Brindle
Ziggy,Adoption,Dog,Intact Female,2 months,Soft Coated Wheaten Terrier Mix,Buff/Tan
Meg,Adoption,Dog,Spayed Female,2 years,Pit Bull Mix,Brown/White
Marla,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Black
Miss Sally,Adoption,Dog,Spayed Female,2 months,Pit Bull Mix,White
nan,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby
nan,Return_to_owner,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Blue/White
Jake,Adoption,Dog,Neutered Male,2 years,Chihuahua Shorthair/Rat Terrier,Black/White
Bruno,Euthanasia,Dog,Intact Male,6 years,Pit Bull Mix,Brown/White
Judith,Adoption,Dog,Spayed Female,2 years,Rat Terrier Mix,Tricolor
Otter,Adoption,Dog,Neutered Male,2 years,Queensland Heeler Mix,Red Tick
nan,Transfer,Cat,Unknown,1 week,Domestic Shorthair Mix,Blue/White
nan,Transfer,Cat,Intact Female,4 weeks,Domestic Shorthair Mix,Calico
Goose,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Black
nan,Euthanasia,Dog,Intact Female,2 years,Chihuahua Longhair Mix,Black
Harley,Return_to_owner,Dog,Intact Male,1 year,Great Dane/Mastiff,Black/White
Bristol,Adoption,Dog,Intact Female,2 months,Collie Smooth Mix,Cream/Tan
Speedy,Transfer,Dog,Neutered Male,6 years,Chihuahua Shorthair Mix,Brown/White
nan,Adoption,Cat,Neutered Male,5 months,Domestic Medium Hair Mix,Blue Tabby
Tuzi,Adoption,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,White/Brown
nan,Adoption,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Brown Tabby/White
Chloe,Adoption,Dog,Spayed Female,3 years,Labrador Retriever Mix,Yellow/White
nan,Transfer,Cat,Intact Female,4 weeks,Domestic Shorthair,Black/White
Reesie,Return_to_owner,Dog,Spayed Female,1 year,Australian Cattle Dog Mix,Tricolor
Chino,Adoption,Dog,Neutered Male,3 years,Miniature Poodle/Cocker Spaniel,White
nan,Transfer,Cat,Neutered Male,6 months,Domestic Shorthair Mix,Brown Tabby
Road Runner,Euthanasia,Cat,Intact Male,1 month,Domestic Shorthair Mix,Orange Tabby
nan,Transfer,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Blue Tabby
Bonnie,Transfer,Dog,Intact Female,1 month,Labrador Retriever Mix,Black
Cherry,Adoption,Dog,Spayed Female,5 years,Pointer Mix,Black/White
Buttercup,Return_to_owner,Dog,Spayed Female,4 years,Toy Poodle Mix,White
Wyatt,Transfer,Dog,Intact Male,1 year,German Shepherd,Black/Tan
Sandro,Adoption,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Blue
Benji,Return_to_owner,Dog,Neutered Male,2 years,Pekingese Mix,Tan
Fiona,Adoption,Cat,Spayed Female,3 months,Domestic Longhair Mix,Black/White
Sweetie Pie,Adoption,Dog,Spayed Female,8 months,Australian Shepherd Mix,White/Black
Sam,Adoption,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black/White
Hampton,Transfer,Dog,Neutered Male,6 months,Pit Bull Mix,Black/White
nan,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Blue Tabby
nan,Euthanasia,Dog,Intact Male,1 month,Pit Bull Mix,Black Brindle/White
Haley,Adoption,Dog,Spayed Female,5 months,Chihuahua Longhair Mix,Chocolate
Libby,Adoption,Dog,Spayed Female,2 years,Chihuahua Shorthair Mix,Brown/White
Gypsy Girl,Adoption,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Calico
Messi,Return_to_owner,Dog,Intact Male,2 years,Miniature Poodle/Miniature Schnauzer,Black/White
Axel,Transfer,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/Tan
Demarcia,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black/White
Moses,Return_to_owner,Dog,Neutered Male,10 years,Labrador Retriever,White
Wesson,Adoption,Dog,Neutered Male,1 month,Labrador Retriever Mix,Brown/White
nan,Transfer,Dog,Intact Male,14 years,Chihuahua Shorthair Mix,Brown
nan,Adoption,Dog,Spayed Female,1 year,Miniature Poodle Mix,White
Brutus,Adoption,Dog,Intact Male,10 years,Labrador Retriever Mix,Buff
Sadie,Adoption,Dog,Spayed Female,9 years,Great Pyrenees Mix,White
nan,Euthanasia,Cat,Neutered Male,9 years,Domestic Shorthair Mix,Brown Tabby/White
Sasha,Adoption,Dog,Spayed Female,4 years,Yorkshire Terrier Mix,Black/Tan
nan,Transfer,Dog,Intact Male,1 weeks,American Staffordshire Terrier,Fawn
Lexi,Adoption,Dog,Spayed Female,1 year,Labrador Retriever Mix,Tan/White
Gracie,Adoption,Dog,Intact Female,12 years,Chihuahua Shorthair,Black/White
Choni,Adoption,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Tan
Luigi,Adoption,Dog,Neutered Male,1 year,Welsh Terrier Mix,Black/Brown
Bella,Return_to_owner,Dog,Spayed Female,1 year,Pit Bull Mix,Black/White
Ashley,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Brown Tabby
Kit Kat,Transfer,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Black/White
nan,Euthanasia,Cat,Neutered Male,2 years,Domestic Medium Hair Mix,Black
nan,Transfer,Cat,Intact Male,3 weeks,Siamese Mix,White
Bella,Adoption,Cat,Spayed Female,6 months,Domestic Shorthair Mix,Brown Tabby/White
Sancho,Return_to_owner,Dog,Intact Male,3 years,Chihuahua Shorthair Mix,Cream/White
nan,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black/White
Moonlight,Adoption,Cat,Spayed Female,5 years,Domestic Shorthair Mix,Black/White
Agamemnon,Transfer,Cat,Neutered Male,4 months,Domestic Shorthair Mix,Blue/White
Jackson,Return_to_owner,Dog,Neutered Male,2 years,Australian Cattle Dog,Blue Merle/White
Crystal,Euthanasia,Dog,Spayed Female,2 years,Pit Bull Mix,Brown
Sister,Return_to_owner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Tortie
Dancer,Transfer,Dog,Spayed Female,1 year,Pharaoh Hound,Red/White
Paul,Return_to_owner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Tan/White
Pharaoh,Return_to_owner,Dog,Neutered Male,13 years,Chow Chow Mix,Brown
nan,Euthanasia,Cat,Intact Male,2 years,Domestic Shorthair Mix,Orange Tabby
Princess,Transfer,Dog,Spayed Female,2 years,Labrador Retriever/German Shepherd,Black
nan,Transfer,Dog,Intact Female,1 month,Plott Hound Mix,Brown Brindle
Miles,Adoption,Dog,Neutered Male,3 years,Akita Mix,Black/Tan
Junebug,Adoption,Dog,Spayed Female,1 year,Pit Bull Mix,Red/White
Matilda,Transfer,Dog,Spayed Female,2 years,Catahoula Mix,Brown Merle
nan,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Blue/White
Ladybug,Adoption,Dog,Spayed Female,11 years,German Shepherd Mix,Brown
Cyrano,Return_to_owner,Dog,Neutered Male,3 years,Tibetan Spaniel Mix,White/Buff
Boogie,Adoption,Dog,Neutered Male,1 year,Catahoula Mix,Brown Merle/White
Allie,Adoption,Dog,Spayed Female,2 years,Miniature Pinscher Mix,Black/Tan
nan,Adoption,Dog,Neutered Male,2 months,Catahoula Mix,Brown Brindle/White
Luna,Adoption,Dog,Spayed Female,2 years,American Eskimo Mix,White
Eve,Return_to_owner,Dog,Spayed Female,6 years,Siberian Husky/Pit Bull,White/Brown
nan,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
Aries,Adoption,Dog,Neutered Male,2 years,Cardigan Welsh Corgi Mix,Black/Brown
Julius,Adoption,Dog,Neutered Male,1 year,Australian Cattle Dog/Pointer,White/Black
Edina,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie
Maya,Adoption,Dog,Spayed Female,1 year,Redbone Hound Mix,Brown
Bubba,Return_to_owner,Dog,Neutered Male,2 years,Pit Bull Mix,Brown/White
Cookie-Poo,Return_to_owner,Dog,Spayed Female,3 months,Shetland Sheepdog/Cardigan Welsh Corgi,Black/Tan
Arizona,Adoption,Dog,Spayed Female,1 year,German Shepherd Mix,Black/Tan
Pinto,Return_to_owner,Dog,Neutered Male,10 years,Rat Terrier Mix,White/Tan
nan,Transfer,Cat,Intact Male,3 days,Domestic Shorthair Mix,Blue/White
Lula Belle,Adoption,Dog,Spayed Female,2 years,Australian Cattle Dog/Border Collie,White/Tricolor
Rocky,Adoption,Dog,Neutered Male,1 year,Rottweiler Mix,Tricolor
Tiana,Return_to_owner,Dog,Spayed Female,5 years,Miniature Pinscher Mix,Black/Tan
Mallory,Adoption,Dog,Spayed Female,2 years,Maltese/Miniature Poodle,White
nan,Return_to_owner,Cat,Intact Male,1 year,Domestic Shorthair Mix,Brown Tabby
Wesson,Adoption,Dog,Neutered Male,8 months,Anatol Shepherd/Redbone Hound,Sable
Cochise,Euthanasia,Dog,Intact Female,2 years,Rottweiler Mix,Black/Tan
Aladdin,Transfer,Cat,Intact Male,1 month,Domestic Medium Hair Mix,Brown Tabby
Chica,Transfer,Dog,Spayed Female,3 years,Boxer Mix,Tan/White
Baltazar,Adoption,Dog,Neutered Male,4 years,German Shepherd Mix,Black
Izy,Adoption,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Blue Tabby
nan,Transfer,Cat,Unknown,4 months,Domestic Shorthair Mix,Black
Jasmine,Adoption,Dog,Spayed Female,2 years,German Shepherd/Labrador Retriever,Buff
nan,Euthanasia,Cat,Neutered Male,6 years,Domestic Medium Hair Mix,Blue Tabby
Neptune,Return_to_owner,Dog,Neutered Male,3 years,Belgian Malinois Mix,Tan/Black
Negrito,Adoption,Cat,Neutered Male,8 months,Domestic Shorthair Mix,Black
Debo,Return_to_owner,Dog,Intact Male,3 years,Pit Bull Mix,Tan/White
Osa,Return_to_owner,Dog,Spayed Female,1 year,Great Pyrenees Mix,White
Tuck,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
Meechum,Adoption,Cat,Neutered Male,10 years,Domestic Shorthair Mix,Black
Tulip,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Black
nan,Transfer,Cat,Intact Male,3 months,Siamese Mix,Flame Point
Hope,Adoption,Cat,Spayed Female,8 months,Domestic Medium Hair Mix,Black/White
Sofia,Return_to_owner,Dog,Spayed Female,6 months,Shih Tzu/Miniature Poodle,Black
nan,Adoption,Dog,Spayed Female,5 months,Chihuahua Shorthair Mix,Black/Brown
Presley,Adoption,Dog,Spayed Female,1 year,Chihuahua Longhair/Cairn Terrier,Tan/Cream
Tiger,Return_to_owner,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Brown Tabby
Rain,Adoption,Dog,Neutered Male,2 years,Labrador Retriever Mix,Yellow/Black
Neeley,Adoption,Cat,Spayed Female,6 months,Domestic Medium Hair Mix,Tortie
Cosita,Euthanasia,Dog,Spayed Female,1 year,Chihuahua Shorthair Mix,Tan
nan,Adoption,Dog,Spayed Female,4 months,American Eskimo Mix,Cream
Yoshi,Return_to_owner,Dog,Spayed Female,5 years,Pit Bull Mix,Blue/White
nan,Transfer,Dog,Spayed Female,3 months,Labrador Retriever/Catahoula,White/Brown
Lucas,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby
Jesse,Transfer,Dog,Spayed Female,7 months,German Shepherd Mix,Red Tick
Bishop,Return_to_owner,Dog,Neutered Male,1 year,Labrador Retriever Mix,Black/White
Samantha,Return_to_owner,Dog,Spayed Female,3 years,Pekingese Mix,Buff
Negrito,Return_to_owner,Dog,Neutered Male,2 years,Chihuahua Shorthair Mix,Black/Tan
Gaby,Transfer,Dog,Intact Female,2 years,Maltese/Miniature Poodle,White
Nix,Adoption,Cat,Spayed Female,4 months,Domestic Shorthair Mix,Calico/Blue Cream
Frisky,Adoption,Dog,Neutered Male,2 months,Chihuahua Shorthair Mix,White
nan,Euthanasia,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Brown Tabby
Diamond,Euthanasia,Dog,Spayed Female,2 years,Catahoula Mix,Tan/Yellow Brindle
South,Adoption,Dog,Spayed Female,1 month,Labrador Retriever/Australian Shepherd,Black/White
Rose,Adoption,Dog,Spayed Female,3 years,Pit Bull Mix,Black/White
Vigo,Adoption,Dog,Neutered Male,5 years,Maltese,White
nan,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby
Lexie,Return_to_owner,Dog,Intact Female,6 years,Shih Tzu Mix,Gray/White
Logan,Adoption,Dog,Neutered Male,2 years,Yorkshire Terrier,Brown/Black
nan,Transfer,Dog,Intact Female,1 month,Chihuahua Shorthair Mix,Black/White
Mouphtaou,Adoption,Dog,Neutered Male,2 years,Golden Retriever/Chow Chow,Gold
nan,Transfer,Cat,Intact Female,6 days,Siamese Mix,White/Lynx Point
Trooper,Adoption,Dog,Neutered Male,3 years,Labrador Retriever Mix,Black
Randy Quaid,Return_to_owner,Cat,Neutered Male,2 years,Domestic Shorthair Mix,White/Black
Rex,Adoption,Dog,Neutered Male,10 months,Labrador Retriever/German Shepherd,Black/White
Player,Adoption,Cat,Neutered Male,3 years,Domestic Shorthair Mix,Brown Tabby/White
nan,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Blue/White
nan,Transfer,Dog,Intact Male,6 months,Chihuahua Shorthair Mix,Brown/Black
Arya,Adoption,Dog,Spayed Female,2 years,Staffordshire,Black/White
nan,Adoption,Dog,Spayed Female,5 months,Beagle Mix,Red/White
May,Adoption,Dog,Spayed Female,1 month,German Shepherd/Australian Cattle Dog,Red/White
Bear,Return_to_owner,Dog,Neutered Male,2 years,Labrador Retriever Mix,Black
nan,Transfer,Cat,Unknown,2 years,Domestic Shorthair Mix,Tortie
Maggie,Return_to_owner,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White/Brown Tabby
Mercedes,Adoption,Dog,Spayed Female,2 years,Jack Russell Terrier Mix,White/Brown
Nick,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Black/White
nan,Transfer,Dog,Neutered Male,2 months,Chihuahua Shorthair/Cairn Terrier,Tan
Annika,Transfer,Dog,Intact Female,1 month,German Shepherd Mix,Sable/Black
Everest,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black
Piper,Return_to_owner,Dog,Spayed Female,8 years,Collie Rough/German Shepherd,Black/Brown
Tica,Return_to_owner,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Blue Tabby
nan,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Calico
Shasta,Adoption,Dog,Spayed Female,1 year,Bull Terrier/Australian Kelpie,Black
Bear,Transfer,Cat,Intact Male,1 month,Domestic Longhair Mix,Blue
nan,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby
nan,Euthanasia,Cat,Intact Male,1 month,Domestic Shorthair Mix,Blue/White
Liza,Transfer,Cat,Intact Female,1 year,Domestic Shorthair Mix,Tortie
Copper,Return_to_owner,Dog,Neutered Male,12 years,Wire Hair Fox Terrier Mix,Black/White
Ginger,Adoption,Dog,Spayed Female,3 years,Miniature Poodle/Yorkshire Terrier,Brown
Precious,Adoption,Dog,Spayed Female,3 years,German Shepherd Mix,Black/Tan
Spot,Adoption,Dog,Neutered Male,11 months,Australian Cattle Dog/Jack Russell Terrier,White/Black
Bingo,Transfer,Dog,Intact Male,2 years,Australian Shepherd/Border Collie,Black/Tricolor
nan,Transfer,Cat,Unknown,3 days,Domestic Shorthair Mix,Torbie
Fiona,Adoption,Dog,Spayed Female,4 years,Chihuahua Shorthair Mix,Tan
nan,Transfer,Dog,Intact Male,1 month,German Shepherd Mix,Fawn
Tito,Return_to_owner,Dog,Intact Male,3 years,German Shepherd Mix,White
Rex,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Cream Tabby
Ruby,Adoption,Cat,Spayed Female,11 years,Maine Coon Mix,Torbie
Ace,Adoption,Dog,Neutered Male,6 months,Catahoula/Boxer,Brown/White
Josephina,Return_to_owner,Dog,Spayed Female,3 years,Labrador Retriever/German Shepherd,Black/White
nan,Adoption,Cat,Neutered Male,3 months,Domestic Medium Hair Mix,Brown Tabby/White
Rose,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
Kia,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,White/Black
Pita,Adoption,Cat,Spayed Female,8 years,Domestic Shorthair Mix,Brown Tabby/White
Tiny,Return_to_owner,Dog,Spayed Female,2 years,Pit Bull Mix,Black/White
nan,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Brown Tabby
nan,Died,Cat,Unknown,3 days,Domestic Shorthair Mix,Black
nan,Transfer,Cat,Unknown,1 year,Domestic Shorthair Mix,Brown Tabby/White
Datsun,Adoption,Cat,Neutered Male,2 months,Manx Mix,Black Smoke
nan,Transfer,Cat,Unknown,2 weeks,Domestic Shorthair Mix,Cream Tabby
Silvi,Adoption,Dog,Spayed Female,1 year,Miniature Poodle Mix,White
nan,Euthanasia,Cat,Spayed Female,13 years,Domestic Longhair Mix,Tortie
Ernie,Adoption,Dog,Neutered Male,2 years,Labrador Retriever/Great Pyrenees,Black/White
Koda,Adoption,Dog,Neutered Male,2 years,Boston Terrier,Brown Brindle/White
Yogi,Transfer,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Black/Brown
Kota,Adoption,Dog,Spayed Female,2 months,Labrador Retriever Mix,Black
Guadalupe,Adoption,Dog,Spayed Female,1 year,Blue Lacy Mix,Blue/White
nan,Transfer,Cat,Unknown,5 days,Domestic Shorthair Mix,White
nan,Transfer,Dog,Neutered Male,10 years,Cocker Spaniel Mix,Black/White
Pop Tart,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby/White
Charles,Adoption,Cat,Neutered Male,2 months,Domestic Medium Hair Mix,Brown Tabby
nan,Adoption,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Cream Tabby
nan,Transfer,Dog,Intact Male,7 months,Border Collie Mix,White/Black
Terpie,Transfer,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tan/White
Blackie,Transfer,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,Black
nan,Adoption,Dog,Neutered Male,2 months,Boxer Mix,Sable
Smoosh,Transfer,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Brown Tabby/White
Cooper,Adoption,Cat,Neutered Male,5 months,Domestic Longhair Mix,Black
nan,Transfer,Dog,Intact Male,1 year,Chihuahua Shorthair Mix,Tan/White
nan,Adoption,Dog,Spayed Female,3 months,Boston Terrier/Chihuahua Shorthair,Black/White
nan,Transfer,Cat,Intact Male,2 weeks,Domestic Shorthair Mix,Orange Tabby
nan,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Tortie
Jeb,Transfer,Dog,Neutered Male,10 years,Labrador Retriever Mix,Tan
Forrest,Adoption,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby/White
Fawn,Transfer,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Torbie
Niki,Adoption,Dog,Spayed Female,1 month,Pit Bull Mix,Tan
Cosmo,Transfer,Dog,Neutered Male,2 years,Pit Bull Mix,Tan/White
Smokey,Adoption,Dog,Neutered Male,4 months,Labrador Retriever/Blue Lacy,Black
nan,Euthanasia,Dog,Intact Female,1 year,Chinese Sharpei,Tan
Princess,Euthanasia,Dog,Intact Female,8 years,Pit Bull Mix,Blue/White
Bobby,Adoption,Dog,Neutered Male,6 years,Alaskan Malamute/Border Collie,Tricolor
nan,Adoption,Dog,Spayed Female,1 year,Border Collie Mix,Black/White
Ivy,Adoption,Dog,Spayed Female,2 years,Staffordshire Mix,Brown/White
Dingo,Return_to_owner,Dog,Spayed Female,9 years,Australian Cattle Dog Mix,Tricolor
nan,Transfer,Dog,Neutered Male,7 months,Labrador Retriever Mix,Brown
Dylan,Return_to_owner,Cat,Neutered Male,5 years,Domestic Shorthair Mix,Blue Tabby
Big Foot,Return_to_owner,Dog,Neutered Male,9 years,Beagle Mix,Black/White
Trixie,Adoption,Dog,Spayed Female,1 year,Boxer Mix,Black/White
Woofie,Return_to_owner,Dog,Neutered Male,2 years,German Shepherd Mix,Black/Brown
Buhner,Adoption,Dog,Neutered Male,1 year,Labrador Retriever/Catahoula,White/Black
S'More,Return_to_owner,Cat,Spayed Female,12 years,Snowshoe Mix,Seal Point
Molly,Return_to_owner,Cat,Spayed Female,6 years,Domestic Shorthair Mix,Blue
Arthur,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black/White
nan,Transfer,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black
Friday,Return_to_owner,Dog,Neutered Male,13 years,Labrador Retriever Mix,Brown
Mia,Return_to_owner,Dog,Intact Female,1 year,Pit Bull Mix,White
Kyrie,Adoption,Cat,Spayed Female,3 months,Domestic Shorthair Mix,Orange Tabby
Sabo,Euthanasia,Dog,Neutered Male,2 years,Anatol Shepherd Mix,Brown/Black
Champ,Return_to_owner,Dog,Intact Female,14 years,Chihuahua Shorthair,Tan/White
Loco,Return_to_owner,Dog,Neutered Male,3 years,American Pit Bull Terrier Mix,Brown/White
nan,Transfer,Dog,Spayed Female,2 months,Doberman Pinsch Mix,Black/Tan
Armand,Adoption,Dog,Neutered Male,1 year,Rat Terrier/Chihuahua Shorthair,Tricolor
Butters,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Brown Tabby
Paul,Transfer,Cat,Intact Male,2 months,Domestic Shorthair Mix,Orange Tabby
